Subject,Predicate,Object
http://localhost/publications/articles/Journal1/1940/Article7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1940/Article7,http://purl.org/dc/elements/1.1/title,pirog summable heliocentricity
http://localhost/publications/articles/Journal1/1940/Article7,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.exorcises.tld/desexes/summable.html
http://localhost/publications/articles/Journal1/1940/Article7,http://swrc.ontoware.org/ontology#note,leviathans misadvised tiltyard numberable yawing prosecutrices pegboxes feeblish
http://localhost/publications/articles/Journal1/1940/Article7,http://swrc.ontoware.org/ontology#pages,126
http://localhost/publications/articles/Journal1/1940/Article7,http://xmlns.com/foaf/0.1/homepage,http://www.desexes.tld/heliocentricity/excretions.html
http://localhost/publications/articles/Journal1/1940/Article7,http://swrc.ontoware.org/ontology#journal,http://localhost/publications/journals/Journal1/1940
http://localhost/publications/articles/Journal1/1940/Article7,http://purl.org/dc/elements/1.1/creator,http://localhost/persons/Paul_Erdoes
http://localhost/publications/articles/Journal1/1940/Article7,http://purl.org/dc/elements/1.1/creator,_:b8
http://localhost/publications/articles/Journal1/1941/Article4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1941/Article4,http://purl.org/dc/elements/1.1/title,reconciliating lenity tautological
http://localhost/publications/articles/Journal1/1941/Article4,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.loggias.tld/photocatalyst/lenity.html
http://localhost/publications/articles/Journal1/1941/Article4,http://swrc.ontoware.org/ontology#pages,97
http://localhost/publications/articles/Journal1/1941/Article4,http://xmlns.com/foaf/0.1/homepage,http://www.photocatalyst.tld/tautological/jambing.html
http://localhost/publications/articles/Journal1/1941/Article4,http://swrc.ontoware.org/ontology#journal,http://localhost/publications/journals/Journal1/1941
http://localhost/publications/articles/Journal1/1941/Article4,http://purl.org/dc/elements/1.1/creator,http://localhost/persons/Paul_Erdoes
http://localhost/publications/articles/Journal1/1941/Article4,http://purl.org/dc/elements/1.1/creator,_:b13
_:b23,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Person
_:b23,http://xmlns.com/foaf/0.1/name,Phaethon Gearon
_:b51,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://xmlns.com/foaf/0.1/Person
_:b51,http://xmlns.com/foaf/0.1/name,Shahaama Berum
http://localhost/publications/articles/Journal1/1943/Article28,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1943/Article28,http://purl.org/dc/elements/1.1/title,refocus administrated remedying
http://localhost/publications/articles/Journal1/1943/Article28,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.acquirable.tld/vividness/administrated.html
http://localhost/publications/articles/Journal1/1943/Article28,http://swrc.ontoware.org/ontology#pages,92
http://localhost/publications/articles/Journal1/1943/Article28,http://xmlns.com/foaf/0.1/homepage,http://www.vividness.tld/remedying/prophetically.html
http://localhost/publications/articles/Journal1/1943/Article28,http://swrc.ontoware.org/ontology#journal,http://localhost/publications/journals/Journal1/1943
http://localhost/publications/articles/Journal1/1943/Article28,http://purl.org/dc/elements/1.1/creator,_:b84
http://localhost/publications/articles/Journal1/1944/Article26,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1944/Article26,http://purl.org/dc/elements/1.1/title,rebroadcasting overdrinking frow
http://localhost/publications/articles/Journal1/1944/Article26,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.restorers.tld/grousing/overdrinking.html
http://localhost/publications/articles/Journal1/1944/Article26,http://swrc.ontoware.org/ontology#pages,187
http://localhost/publications/articles/Journal1/1944/Article26,http://xmlns.com/foaf/0.1/homepage,http://www.grousing.tld/frow/demarcators.html
http://localhost/publications/articles/Journal1/1944/Article26,http://swrc.ontoware.org/ontology#journal,http://localhost/publications/journals/Journal1/1944
http://localhost/publications/articles/Journal1/1944/Article26,http://purl.org/dc/elements/1.1/creator,_:b111
http://localhost/publications/articles/Journal1/1944/Article26,http://purl.org/dc/elements/1.1/creator,_:b112
http://localhost/publications/incolls/1945/Incollection1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://localhost/vocabulary/bench/Incollection
http://localhost/publications/incolls/1945/Incollection1,http://purl.org/dc/elements/1.1/title,tailored beholden branchless
http://localhost/publications/incolls/1945/Incollection1,http://purl.org/dc/terms/issued,1945
http://localhost/publications/incolls/1945/Incollection1,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.mignonette.tld/whews/beholden.html
http://localhost/publications/incolls/1945/Incollection1,http://swrc.ontoware.org/ontology#pages,143
http://localhost/publications/incolls/1945/Incollection1,http://xmlns.com/foaf/0.1/homepage,http://www.whews.tld/branchless/primitiveness.html
http://localhost/publications/incolls/1945/Incollection1,http://purl.org/dc/elements/1.1/creator,_:b158
http://localhost/publications/incolls/1945/Incollection1,http://localhost/vocabulary/bench/booktitle,cacaos tailored whews
http://localhost/publications/articles/Journal1/1946/Article4,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article4,http://purl.org/dc/elements/1.1/title,whanged iniquitously lycanthropies
http://localhost/publications/articles/Journal1/1946/Article4,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.jumpiest.tld/intercollegiate/iniquitously.html
http://localhost/publications/articles/Journal1/1946/Article4,http://swrc.ontoware.org/ontology#pages,16
http://localhost/publications/articles/Journal1/1946/Article4,http://xmlns.com/foaf/0.1/homepage,http://www.intercollegiate.tld/lycanthropies/electrophoresed.html
http://localhost/publications/articles/Journal1/1946/Article4,http://swrc.ontoware.org/ontology#journal,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article4,http://purl.org/dc/elements/1.1/creator,http://localhost/persons/Paul_Erdoes
http://localhost/publications/articles/Journal1/1946/Article4,http://purl.org/dc/elements/1.1/creator,_:b155
http://localhost/publications/articles/Journal1/1946/Article14,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article14,http://purl.org/dc/elements/1.1/title,poloist paraphraser whangs
http://localhost/publications/articles/Journal1/1946/Article14,http://xmlns.com/foaf/0.1/homepage,http://www.comets.tld/whangs/uncovering.html
http://localhost/publications/articles/Journal1/1946/Article14,http://swrc.ontoware.org/ontology#journal,http://localhost/publications/journals/Journal1/1946
http://localhost/publications/articles/Journal1/1946/Article14,http://purl.org/dc/elements/1.1/creator,_:b160
http://localhost/publications/articles/Journal1/1946/Article25,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://localhost/vocabulary/bench/Article
http://localhost/publications/articles/Journal1/1946/Article25,http://purl.org/dc/elements/1.1/title,tenantry appendant submontane
http://localhost/publications/articles/Journal1/1946/Article25,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.ionizing.tld/armfuls/appendant.html
http://localhost/publications/articles/Journal1/1946/Article25,http://swrc.ontoware.org/ontology#pages,14
